ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS0510,0.174316,0.148478,0.200154,0.269532,0.060991,0.478073,0.117252,0.029715,0.204789,0.24792,0.119211,0.37663
DMHDS0590,-0.017316,0.023234,-0.057866,0.212268,0.138114,0.286422,-0.028507,-0.054469,-0.002544,0.124794,0.017601,0.231987
DMHDS0776,0.36447,0.311549,0.417391,-0.142037,-0.086349,-0.197724,0.118762,0.116707,0.120817,-0.032015,0.016806,-0.080837
DMHDS0679,-0.004297,-0.142132,0.133537,-0.01954,-0.122324,0.083245,0.238458,0.040998,0.435919,0.219561,0.133127,0.305994
DMHDS0804,0.059487,-0.122793,0.241768,0.176177,0.159812,0.192541,0.217904,0.019599,0.41621,0.289321,0.202259,0.376383
DMHDS0706,-0.189582,-0.339615,-0.039548,-0.226895,-0.409847,-0.043943,-0.090596,-0.125535,-0.055657,-0.219618,-0.333585,-0.105651
DMHDS0488,0.01783,0.057052,-0.021393,-0.042196,0.04954,-0.133931,-0.042751,-0.030774,-0.054727,-0.204363,-0.165616,-0.24311
DMHDS0539,0.28082,0.209928,0.351712,0.449798,0.307796,0.591799,0.328467,0.253601,0.403333,0.440428,0.355467,0.525388
DMHDS0952,0.029028,0.076984,-0.018929,0.257774,0.193661,0.321888,0.016244,-0.013684,0.046172,0.144261,0.057974,0.230547
DMHDS0576,0.77525,0.786327,0.764173,0.96107,0.885964,1.036176,0.514384,0.495854,0.532913,0.549371,0.487885,0.610857
DMHDS0260,-0.229403,-0.404128,-0.054679,0.104459,0.113317,0.095602,-0.021062,-0.128964,0.086841,0.086856,-0.0064,0.180113
DMHDS0891,0.51174,0.355515,0.667966,0.383946,0.166445,0.601446,0.358068,0.334193,0.381944,0.30281,0.144228,0.461391
DMHDS1032,0.214074,-0.055396,0.483545,0.086169,-0.142714,0.315053,0.275217,0.085297,0.465137,0.240014,0.06237,0.417658
DMHDS1023,-0.232822,-0.461413,-0.004231,-0.143521,-0.151319,-0.135724,-0.058303,-0.122172,0.005566,-0.032644,0.011781,-0.07707
DMHDS0931,0.305363,0.173696,0.437031,0.198538,0.193458,0.203619,0.26777,0.217748,0.317792,0.219745,0.153894,0.285597
DMHDS1036,0.578373,0.454258,0.702488,0.403939,0.119314,0.688564,0.432493,0.361994,0.502991,0.319129,0.116424,0.521834
DMHDS0579,-0.073857,0.04066,-0.188374,-0.189004,-0.060841,-0.317167,-0.113282,0.024839,-0.251404,-0.208471,-0.121412,-0.295531
DMHDS1123,0.424567,0.187108,0.662026,0.346987,0.110795,0.583179,0.463472,0.173419,0.753526,0.274854,-0.088276,0.637985
DMHDS1169,0.631186,0.667069,0.595303,0.636028,0.4769,0.795155,0.43241,0.3968,0.468019,0.463045,0.34268,0.58341
DMHDS0457,0.217855,-0.02248,0.45819,-0.062462,-0.289204,0.164279,0.06778,-0.14494,0.280499,-0.024543,-0.14485,0.095764
